TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,G(t),Tp,ηref,A,P,Energi/hari,SSavg,Gavg,Tavg,Eavg,Etotal
2025-06-12,26.3,30.6,27.7,70,0,8,8,100,5,E,666.6666667,47.7,0.18184,50,4849.066667,38.79253333,,,,,
2025-06-13,26.9,32,28.5,71,0,7.2,6,90,4,E,600,46.5,0.1828,50,4387.2,31.58784,,,,,
2025-06-14,26.5,31.6,28,70,0,8,6,80,4,E,666.6666667,48,0.1816,50,4842.666667,38.74133333,,,,,
2025-06-15,25.6,31.7,27.6,69,0,6.4,6,110,4,E,533.3333333,43.6,0.18512,50,3949.226667,25.27505067,,,,,
2025-06-16,24.6,31.2,27,67,0,8,5,110,4,E,666.6666667,47,0.1824,50,4864,38.912,,,,,
2025-06-17,24.3,30.4,26.5,63,0,8,5,130,3,E,666.6666667,46.5,0.1828,50,4874.666667,38.99733333,,,,,
2025-06-18,24.7,31.2,27.3,69,0,8,6,90,3,E,666.6666667,47.3,0.18216,50,4857.6,38.8608,,,,,
2025-06-19,25.9,31.3,27.7,74,0,8,6,110,4,E,666.6666667,47.7,0.18184,50,4849.066667,38.79253333,,,,,
2025-06-20,26.2,32.1,28.5,71,8888,8,6,90,3,E,666.6666667,48.5,0.1812,50,4832,38.656,,,,,
2025-06-21,24.8,31.4,27,67,0,8,6,140,3,SE,666.6666667,47,0.1824,50,4864,38.912,,,,,
2025-06-22,24.8,30.5,26.8,72,0,8,6,110,3,SE,666.6666667,46.8,0.18256,50,4868.266667,38.94613333,,,,,
2025-06-23,25.6,30.7,27.6,66,0,6,6,130,3,SE,500,42.6,0.18592,50,3718.4,22.3104,,,,,
2025-06-24,25.2,31.2,27.1,64,0,8,7,130,4,SE,666.6666667,47.1,0.18232,50,4861.866667,38.89493333,,,,,
2025-06-25,26.2,31.3,28.1,70,0,4.3,6,110,4,SE,358.3333333,38.85,0.18892,50,2707.853333,11.64376933,,,,,
2025-06-26,26.4,31.4,28.1,70,0,8,6,110,5,E,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,,,,,
2025-06-27,25.9,30.6,27.7,68,0,8,9,110,5,E,666.6666667,47.7,0.18184,50,4849.066667,38.79253333,,,,,
2025-06-28,25.5,30.3,27.1,69,0,8,8,130,5,E,666.6666667,47.1,0.18232,50,4861.866667,38.89493333,,,,,
2025-06-29,25.4,30.2,27,62,0,6.8,6,110,4,E,566.6666667,44,0.1848,50,4188.8,28.48384,,,,,
2025-06-30,25.4,30.4,27.3,68,0,8,7,100,5,E,666.6666667,47.3,0.18216,50,4857.6,38.8608,,,,,
